HSE_ID,PIN,PIND,HSE_NBR,HSE_FRAC_NBR,HSE_DIR_CD,STR_NM,STR_SFX_CD,STR_SFX_DIR_CD,UNIT_RANGE,ZIP_CD,LAT,LON,X_COORD_NBR,Y_COORD_NBR,ASGN_STTS_IND,ENG_DIST,CNCL_DIST
1,153B165   544,153B165-544,8640,,W,MULHOLLAND,DR,,,90210,34.12014,-118.39278,6442784.473,1866334.687,U,W,4
2,153B165   544,153B165-544,8686,,W,EDWIN,DR,,,90046,34.12017,-118.39228,6442937.725,1866344.241,A,W,4
4,153B169    13,153B169-13,8250,,W,SKYLINE,DR,,,90046,34.11992,-118.38966,6443730.541,1866253.188,A,W,4
5,156A181     4,156A181-4,2909,,N,PASSMORE,DR,,,90068,34.12373,-118.35147,6455294.232,1867597.046,U,V,4
6,156A181     7,156A181-7,7321,,W,WOODROW WILSON,DR,,,90046,34.12355,-118.35299,6454832.675,1867531.467,A,V,4
7,156A181     9,156A181-9,7126,,W,SYCAMORE,TR,,,90068,34.12395,-118.3479,6456373.389,1867671.215,U,V,4
9,156A181    10,156A181-10,7200,,W,SYCAMORE,TR,,,90068,34.12387,-118.34866,6456142.9,1867642.047,U,V,4
10,156A181    11,156A181-11,7136,,W,SYCAMORE,TR,,,90068,34.12395,-118.3482,6456284.021,1867672.465,U,V,4
11,156A181    11,156A181-11,3052,,N,GOODVIEW,TR,,,90068,34.12382,-118.34831,6456251.112,1867624.686,U,V,4
13,156A181    13,156A181-13,7130,,W,SYCAMORE,TR,,,90068,34.12395,-118.34796,6456354.411,1867671.492,A,V,4
14,156A181    14,156A181-14,7257,,W,WOODROW WILSON,DR,,,90068,34.12389,-118.35112,6455400.652,1867654.43,U,V,4
15,156A181    15,156A181-15,6945,,W,VALLEYTON,TR,,,90068,34.12387,-118.34637,6456837.093,1867640.87,U,V,4
16,156A181    16,156A181-16,3048,,N,GOODVIEW,TR,,,90068,34.12375,-118.34821,6456279.378,1867598.032,U,V,4
17,156A181    17,156A181-17,3077,,N,VALEVISTA,TR,,,90068,34.12389,-118.35008,6455714.144,1867652.801,A,V,4
18,156A181    18,156A181-18,7315,,W,WOODROW WILSON,DR,,,90046,34.1232,-118.35246,6454991.782,1867403.382,U,V,4
20,156A181    20,156A181-20,3072,,N,VALEVISTA,TR,,,90068,34.12379,-118.34985,6455783.113,1867616.36,U,V,4
21,156A181    21,156A181-21,3066,,N,VALEVISTA,TR,,,90068,34.12371,-118.34977,6455808.799,1867585.323,A,V,4
22,156A181    22,156A181-22,3064,,N,VALEVISTA,TR,,,90068,34.12366,-118.34969,6455831.7,1867567.595,U,V,4
23,156A181    23,156A181-23,3075,,N,VALEVISTA,TR,,,90068,34.12383,-118.35003,6455728.473,1867632.314,U,V,4
24,156A181    24,156A181-24,6947,,W,VALLEYTON,TR,,,90068,34.12384,-118.34637,6456836.832,1867630.204,U,V,4
25,156A181    25,156A181-25,3060,,N,VALEVISTA,TR,,,90068,34.12363,-118.34962,6455854.039,1867556.37,A,V,4
26,156A181    26,156A181-26,7226,,W,SYCAMORE,TR,,,90068,34.12378,-118.34903,6456032.022,1867612.464,A,V,4
27,156A181    27,156A181-27,3055,,N,GOODVIEW,TR,,,90068,34.12378,-118.34843,6456214.781,1867610.691,U,V,4
28,156A181    28,156A181-28,7258,,W,WOODROW WILSON,DR,,,90068,34.12384,-118.35091,6455463.501,1867634.76,U,V,4
